
Found 9 files in total.
=========================================================================================================

FILE: 000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau.json
Total chunks: 46
CHUNK ID                                           | TYPE                 | STRATEGY             | LENGTH
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part04 | novel                | implicit_chapter_stars | 7431
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part05 | novel                | implicit_chapter_stars | 2068
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part06 | novel                | implicit_chapter_stars | 4297
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part07 | novel                | implicit_chapter_stars | 4471
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part08 | novel                | implicit_chapter_stars | 8856
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part09 | novel                | implicit_chapter_stars | 9847
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part10 | novel                | implicit_chapter_stars | 8224
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part11 | novel                | implicit_chapter_stars | 10579
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part12 | novel                | implicit_chapter_stars | 11254
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part13 | novel                | implicit_chapter_stars | 8323
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part14 | novel                | implicit_chapter_stars | 8820
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part15 | novel                | implicit_chapter_stars | 10464
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part16 | novel                | implicit_chapter_stars | 5471
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part17 | novel                | implicit_chapter_stars | 4660
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part18 | novel                | implicit_chapter_stars | 2656
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part19 | novel                | implicit_chapter_stars | 8143
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part20 | novel                | implicit_chapter_stars | 3967
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part21 | novel                | implicit_chapter_stars | 7401
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part22 | novel                | implicit_chapter_stars | 1649
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part23 | novel                | implicit_chapter_stars | 9364
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part24 | novel                | implicit_chapter_stars | 2566
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part25 | novel                | implicit_chapter_stars | 10882
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part26 | novel                | implicit_chapter_stars | 6304
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part27 | novel                | implicit_chapter_stars | 10846
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part28 | novel                | implicit_chapter_stars | 4305
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part29 | novel                | implicit_chapter_stars | 6063
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part30 | novel                | implicit_chapter_stars | 8353
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part31 | novel                | implicit_chapter_stars | 3222
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part32 | novel                | implicit_chapter_stars | 8029
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part33 | novel                | implicit_chapter_stars | 12136
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part34 | novel                | implicit_chapter_stars | 8068
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part35 | novel                | implicit_chapter_stars | 12563
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part36 | novel                | implicit_chapter_stars | 3880
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part37 | novel                | implicit_chapter_stars | 1712
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part38 | novel                | implicit_chapter_stars | 3699
