ID	Title	Publisher	Series	Date	publisher_tier	book_type	series_size_category	sampling_strategy	temporal_position
1247565599	Schleier und Schwert	CORA Verlag	?	2021.0	A	Standalone		Random (Standalone)	
1247846989	Julia Ärzte zum Verlieben Band 160	CORA Verlag	?	2022.0	A	Standalone		Random (Standalone)	
1248309251	Kinderärztin Dr. Martens Box 4 – Arztroman	Kelter Media	?	2021.0	A	Standalone		Random (Standalone)	
1249925304	Toni der Hüttenwirt Classic 80 – Heimatroman	Kelter Media	?	2022.0	A	Standalone		Random (Standalone)	
1251953581	Doc Holliday Classic 34 – Western	Kelter Media	?	2022.0	A	Standalone		Random (Standalone)	
1253019703	Wolken über Wulfdale	CORA Verlag	?	2022.0	A	Standalone		Random (Standalone)	
1253583471	Dr. Norden Extra Staffel 3 – Arztroman	Kelter Media	?	2022.0	A	Standalone		Random (Standalone)	
1253583617	Dr. Laurin – Neue Edition 4 – Arztroman	Kelter Media	?	2022.0	A	Standalone		Random (Standalone)	
1253584117	Sophienlust Extra 60 – Familienroman	Kelter Media	?	2022.0	A	Standalone		Random (Standalone)	
1256683930	Lore-Roman 131	Bastei Lübbe	?	2022.0	A	Standalone		Random (Standalone)	
1256686190	G. F. Unger Sonder-Edition 242	Bastei Lübbe	?	2022.0	A	Standalone		Random (Standalone)	
125732294X	Der Bergpfarrer Staffel 29 – Heimatroman	Kelter Media	?	2022.0	A	Standalone		Random (Standalone)	
1258775328	Chefarzt Dr. Holl 1941	Bastei Lübbe	?	2022.0	A	Standalone		Random (Standalone)	
1258775468	Skull-Ranch 82	Bastei Lübbe	?	2022.0	A	Standalone		Random (Standalone)	
1264308604	Sophienlust Extra 69 – Familienroman	Kelter Media	?	2022.0	A	Standalone		Random (Standalone)	
1266855645	Butler Parker 250 – Kriminalroman	Kelter Media	?	2022.0	A	Standalone		Random (Standalone)	
1266856137	Familie Dr. Norden 768 – Arztroman	Kelter Media	?	2022.0	A	Standalone		Random (Standalone)	
1269094254	Chefarzt Dr. Norden 1227 – Arztroman	Kelter Media	?	2022.0	A	Standalone		Random (Standalone)	
127357706X	Der neue Dr. Laurin Paket 1 – Arztroman	Kelter Media	?	2022.0	A	Standalone		Random (Standalone)	
1273577515	Sophienlust 379 – Familienroman	Kelter Media	?	2022.0	A	Standalone		Random (Standalone)	
1276332831	Wyatt Earp Staffel 26 – Western	Kelter Media	?	2022.0	A	Standalone		Random (Standalone)	
1276333412	Toni der Hüttenwirt Extra Staffel 3 – Heimatroman	Kelter Media	?	2022.0	A	Standalone		Random (Standalone)	
1277183082	Jerry Cotton 3418	Bastei Lübbe	?	2022.0	A	Standalone		Random (Standalone)	
1277183201	Chefarzt Dr. Holl 1955	Bastei Lübbe	?	2022.0	A	Standalone		Random (Standalone)	
1277191492	Verführt in der Silvesternacht	CORA Verlag	?	2022.0	A	Standalone		Random (Standalone)	
1277192405	Stürmische Gefühle im Wüstenpalast	CORA Verlag	?	2022.0	A	Standalone		Random (Standalone)	
1277322791	Bianca Gold Band 71	CORA Verlag	?	2022.0	A	Standalone		Random (Standalone)	
1277324514	High Heels und Herzklopfen	CORA Verlag	?	2022.0	A	Standalone		Random (Standalone)	
127756776X	Jerry Cotton 3407	Bastei Lübbe	?	2022.0	A	Standalone		Random (Standalone)	
1277578222	Julia Collection Band 178	CORA Verlag	?	2022.0	A	Standalone		Random (Standalone)	
1277578265	Tanz diesen Tango nur mit mir	CORA Verlag	?	2022.0	A	Standalone		Random (Standalone)	
127757877X	Julia Exklusiv Band 354	CORA Verlag	?	2022.0	A	Standalone		Random (Standalone)	
1277578931	Braut zu verschenken	CORA Verlag	?	2022.0	A	Standalone		Random (Standalone)	
1278556362	Dr. Norden Extra 98 – Arztroman	Kelter Media	?	2023.0	A	Standalone		Random (Standalone)	
1279995807	Sophienlust Extra 85 – Familienroman	Kelter Media	?	2023.0	A	Standalone		Random (Standalone)	
1280503572	Romantik und Leidenschaft - Best of Digital Edition 2022	CORA Verlag	?	2023.0	A	Standalone		Random (Standalone)	
1281097179	Toni der Hüttenwirt 349 – Heimatroman	Kelter Media	?	2023.0	A	Standalone		Random (Standalone)	
1281097187	Der Bergpfarrer 352 – Heimatroman	Kelter Media	?	2023.0	A	Standalone		Random (Standalone)	
1282107534	Der junge Fürst 8 – Familienroman	Kelter Media	?	2023.0	A	Standalone		Random (Standalone)	
1282860429	Julia Extra Band 531	CORA Verlag	?	2023.0	A	Standalone		Random (Standalone)	
1282861352	Dr. Stefan Frank 2698	Bastei Lübbe	?	2023.0	A	Standalone		Random (Standalone)	
1283562588	Sophienlust - Die nächste Generation 82 – Familienroman	Kelter Media	?	2023.0	A	Standalone		Random (Standalone)	
1285558723	Der Bergdoktor 2174	Bastei Lübbe	?	2023.0	A	Standalone		Random (Standalone)	
1285559525	Happy End auf Capri	CORA Verlag	?	2023.0	A	Standalone		Random (Standalone)	
1287931928	G. F. Unger Sonder-Edition Großband 18	Bastei Lübbe	?	2023.0	A	Standalone		Random (Standalone)	
1292364025	Die großen Western 332	Kelter Media	?	2023.0	A	Standalone		Random (Standalone)	
1292364548	Sophienlust 404 – Familienroman	Kelter Media	?	2023.0	A	Standalone		Random (Standalone)	
129236551X	Der Bergpfarrer 380 – Heimatroman	Kelter Media	?	2023.0	A	Standalone		Random (Standalone)	
1294308246	Maddrax 610	Bastei Lübbe	?	2023.0	A	Standalone		Random (Standalone)	
1294309005	Julia Saison Band 74	CORA Verlag	?	2023.0	A	Standalone		Random (Standalone)	
1294309234	Immer, wenn wir uns begegnen	MIRA Taschenbuch	?	2023.0	A	Standalone		Random (Standalone)	
1297398084	Die besten Ärzte - Sammelband 52	Bastei Lübbe	?	2023.0	A	Standalone		Random (Standalone)	
1297398297	Der Bergdoktor 2191	Bastei Lübbe	?	2023.0	A	Standalone		Random (Standalone)	
1299994938	Silvia-Gold 193	Bastei Lübbe	?	2023.0	A	Standalone		Random (Standalone)	
1300535504	Sophienlust Extra 112 – Familienroman	Kelter Media	?	2023.0	A	Standalone		Random (Standalone)	
1300537116	Dr. Norden Extra 152 – Arztroman	Kelter Media	?	2023.0	A	Standalone		Random (Standalone)	
1300537655	Dr. Norden Gold 85 – Arztroman	Kelter Media	?	2023.0	A	Standalone		Random (Standalone)	
1303167506	Karibische Nächte - heißer als Rache	CORA Verlag	?	2023.0	A	Standalone		Random (Standalone)	
1304226379	Wyatt Earp 287 – Western	Kelter Media	?	2023.0	A	Standalone		Random (Standalone)	
1306548713	Notärztin Andrea Bergen 1492	Bastei Lübbe	?	2023.0	A	Standalone		Random (Standalone)	
1306549388	Traumhochzeit mit dem Milliardär (4-teilige Serie)	CORA Verlag	?	2023.0	A	Standalone		Random (Standalone)	
1306549469	Auf Brautschau mit einer Lady	CORA Verlag	?	2023.0	A	Standalone		Random (Standalone)	
1306549841	G. F. Unger Sonder-Edition 278	Bastei Lübbe	?	2023.0	A	Standalone		Random (Standalone)	
1310006709	John Sinclair 2364	Bastei Lübbe	?	2023.0	A	Standalone		Random (Standalone)	
1310819556	G.F. Barner 297 – Western	Kelter Media	?	2023.0	A	Standalone		Random (Standalone)	
1313283975	G. F. Unger Sonder-Edition 282	Bastei Lübbe	?	2023.0	A	Standalone		Random (Standalone)	
1313284483	Julia Exklusiv Band 370	CORA Verlag	?	2023.0	A	Standalone		Random (Standalone)	
1313284645	Winter der Liebe - 5 märchenhafte Weihnachtsabende	CORA Verlag	?	2023.0	A	Standalone		Random (Standalone)	
1314250531	Die großen Western 346	Kelter Media	?	2023.0	A	Standalone		Random (Standalone)	
1314252453	Toni der Hüttenwirt Extra 126 – Heimatroman	Kelter Media	?	2023.0	A	Standalone		Random (Standalone)	
1315572176	John Sinclair 2371	Bastei Lübbe	?	2023.0	A	Standalone		Random (Standalone)	
1315573393	Lore-Roman 174	Bastei Lübbe	?	2023.0	A	Standalone		Random (Standalone)	
1315573814	Julia Extra Band 546	CORA Verlag	?	2024.0	A	Standalone		Random (Standalone)	
1315574195	Notärztin Andrea Bergen 1499	Bastei Lübbe	?	2024.0	A	Standalone		Random (Standalone)	
