ID	Title	Number of novels	Author	Date	Publisher	Series
1116720108	Alice im Zombieland	1			HarperCollins	?
1046143050	Alice im Zombieland	1			MIRA Taschenbuch	?
1071994611	All die Sehnsuchtsjahre	1			MIRA Taschenbuch	?
1123285713	All die Sehnsuchtsjahre	1			MIRA Taschenbuch	?
1176504983	Alle Frauen lieben Baron Ruthven	1			CORA Verlag	?
1046147676	Alle lieben Merry	1			MIRA Taschenbuch	?
1076913555	Alle Männer wollen Mandy	1			MIRA Taschenbuch	?
1176788418	Alle meine Träume erfüllen sich	1			CORA Verlag	?
1140238612	Alle Nächte wieder	1			MIRA Taschenbuch	?
1176646389	Alle Sorgen sind vergessen	1			CORA Verlag	?
1116718154	Alle Tage unseres Lebens	1			books2read	?
1176616404	Allein in London, verliebt in Paris	1			CORA Verlag	?
1065056869	Aller Liebe Anfang ist ein Kuss	1			MIRA Taschenbuch	?
1176875345	Alles - und noch viel mehr!	1			CORA Verlag	?
1144624843	Alles Begehren	1			HarperCollins	?
1176961977	Alles für Elise	1			CORA Verlag	?
1152079522	Alles Geld der Welt	1			HarperCollins	?
1175427675	Alles Liebe, wuff : Das Buch zum Film	1			HarperCollins	?
1176619306	Alles nur für Sarah	1			CORA Verlag	?
1176625942	Alles pink!	1			CORA Verlag	?
1046139193	Alles, was du willst	1			MIRA Taschenbuch	?
1175427764	Alles, was wir verloren haben	1			HarperCollins	?
117542773X	Alligatoren : Roman	1			HarperCollins	?
1176634232	Als die Erde bebte	1			CORA Verlag	?
1176516205	Am Abgrund	1			CORA Verlag	?
1176505246	Am anderen Ende der Welt	1			CORA Verlag	?
1125116307	Am Anfang war dein Ende : Kriminalroman	1			HarperCollins	?
1046147366	Am Anfang war der Tod	1			MIRA Taschenbuch	?
1074760069	Am Anfang war die Liebe	1			MIRA Taschenbuch	?
107476000X	Am Anfang war die Liebe: Darf ein Boss so zärtlich sein?	1			MIRA Taschenbuch	?
1074759990	Am Anfang war die Liebe: Sinnliche Spiele im Büro	1			MIRA Taschenbuch	?
1074760107	Am Anfang war die Liebe: Verbrenn dir nicht die Finger!	1			MIRA Taschenbuch	?
1075913772	Am Ende das Leben	1			HarperCollins	?
1176946293	Am Fjord der Liebe	1			CORA Verlag	?
1176500511	Am heißen Strand von Mexico	1			CORA Verlag	?
107328929X	Am Horizont ein Morgen	1			MIRA Taschenbuch	?
117661942X	Am Strand der Träume	1			CORA Verlag	?
