filename	explicit_chapter	implicit_chapter_stars	implicit_chapter_jpg	novel_no_separator	non-chapter	total_chunks
000188_G._F._Unger_Sonder-Edition_-_Folge_009__Das_Paar_aus_Louisiana_(German_Edition).json	13	0	0	0	11	24
000189_G._F._Unger_Sonder-Edition_-_Folge_010__Wy_-_Unger,_G._F_.json	14	0	0	0	12	26
000190_G._F._Unger_Sonder-Edition_-_Folge_010__Wyoming_Wade_(German_Edition).json	14	0	0	0	12	26
000191_G._F._Unger_Sonder-Edition_-_Folge_011__Im_-_Unger,_G._F_.json	15	0	0	0	11	26
000192_G._F._Unger_Sonder-Edition_-_Folge_011__Im_Schatten_der_Coltritter_(German_Edition).json	15	0	0	0	11	26
000193_G._F._Unger_Sonder-Edition_-_Folge_012__Ei_-_Unger,_G._F_.json	13	0	0	0	11	24
000194_G._F._Unger_Sonder-Edition_-_Folge_012__Einsam_in_der_Hölle_(German_Edition).json	13	0	0	0	11	24
000195_G._F._Unger_Sonder-Edition_-_Folge_013__Su_-_Unger,_G._F_.json	13	0	0	0	12	25
000196_G._F._Unger_Sonder-Edition_-_Folge_013__Sündige_Stadt_(German_Edition).json	13	0	0	0	12	25
000197_G._F._Unger_Sonder-Edition_-_Folge_014__Da_-_Unger,_G._F_.json	9	0	0	0	12	21
000198_G._F._Unger_Sonder-Edition_-_Folge_014__Das_Paar_aus_Texas_(German_Edition).json	9	0	0	0	12	21
000199_G._F._Unger_Sonder-Edition_-_Folge_015__La_-_Unger,_G._F_.json	12	0	0	0	10	22
000200_G._F._Unger_Sonder-Edition_-_Folge_015__Last_Chance_Camp_(German_Edition).json	12	0	0	0	10	22
000201_G._F._Unger_Sonder-Edition_-_Folge_016__Bu_-_Unger,_G._F_.json	15	0	0	0	12	27
000202_G._F._Unger_Sonder-Edition_-_Folge_016__Büffeltöter_(German_Edition).json	15	0	0	0	12	27
000203_G._F._Unger_Sonder-Edition_-_Folge_017__Sc_-_Unger,_G._F_.json	15	0	0	0	11	26
000204_G._F._Unger_Sonder-Edition_-_Folge_017__Scout-Ehre_(German_Edition).json	15	0	0	0	11	26
000205_G._F._Unger_Sonder-Edition_-_Folge_018__Bl_-_Unger,_G._F_.json	13	0	0	0	11	24
000206_G._F._Unger_Sonder-Edition_-_Folge_018__Blizzard-John_(German_Edition).json	13	0	0	0	11	24
000207_G._F._Unger_Sonder-Edition_-_Folge_019__Ei_-_Unger,_G._F_.json	14	0	0	0	12	26
000208_G._F._Unger_Sonder-Edition_-_Folge_019__Ein_Mann_wie_Kirby_(German_Edition).json	14	0	0	0	12	26
000209_G._F._Unger_Sonder-Edition_-_Folge_020__Ba_-_Unger,_G._F_.json	15	0	0	0	12	27
000210_G._F._Unger_Sonder-Edition_-_Folge_020__Bandoleros_(German_Edition).json	15	0	0	0	12	27
000211_G.F._Barner_-_1_-_E-Book_1-50_-_Barner,_G.F_.json	0	988	0	0	109	1097
000212_G.F._Unger_Sonder-Edition_-_Folge_187_-_G.F._Unger.json	0	0	0	1	6	7
000213_Garbera_Julia-Collection-Band-70_9783733703271.json	36	0	0	0	8	44
000214_Garbera_Nur-fuer-eine-heisse-Nacht__9783954467198.json	7	0	0	0	3	10
000215_Gaslicht_-_Neue_Edition_-_1_-_Wenn_der_Fah_-_Shadow,_Regina.json	0	40	0	0	9	49
000216_Gekusst_von_einem_Scheich___Kei_-_Lynn_Raye_Harris___Carole_Morti.json	42	0	0	0	7	49
000217_Gekusst_von_einem_Scheich___Keine_Chance_f_-_Lynn_Raye_Harris___Carole_Mortimer___Linds.json	42	0	0	0	7	49
000218_Gianna_Julia-Aerzte-zum-Verlieben-Band_9783733715618.json	35	0	0	0	8	43
000219_Gold_Collection-Baccara-Band-355_9783733722562.json	32	0	0	0	10	42
000220_Gordon_Die-schoensten-Liebesromane-der_9783733729660.json	149	0	0	0	33	182
000221_Gordon_Romana-Herzensbrecher-Band-2_9783733744700.json	34	0	0	0	6	40
000222_Graham_Baccara-Spezial-Band-3_9783733725983.json	52	0	0	0	8	60
000223_Graham_Die-Milliardaer-Kollektion---Se_9783733717667.json	64	0	0	0	25	89
000224_Graham_Julia-Extra-379_9783733703967.json	50	0	0	0	9	59
000225_Green_Braut-nur-nach-Freigabe_---5-t_9783733738167.json	59	0	0	0	21	80
000226_Greene_Bianca-Extra-Band-6_9783733732264.json	47	0	0	0	8	55
000227_Greene_Collection-Baccara-Band-362_9783733722685.json	37	0	0	0	9	46
000228_Gregor_Fuersten-Roman-2576_9783732580378.json	0	0	15	0	6	21
000229_Gregor_Fuersten-Roman-2577_9783732581320.json	0	0	17	0	6	23
000230_Gregor_Fuersten-Roman-2636_9783751719766.json	0	0	39	0	6	45
000231_Hahn_Maddrax-317_9783838716992.json	0	0	24	0	10	34
000232_Halberg_Fuersten-Roman-2583_9783732584604.json	0	0	14	0	6	20
000233_Halberg_Fuersten-Roman-2612_9783751704663.json	0	0	17	0	6	23
000234_Hardy_Julia-Aerzte-zum-Verlieben-Band_9783751501637.json	31	0	0	0	8	39
000235_Hardy_Julia-Extra-Band-382_9783733704049.json	50	0	0	0	10	60
000236_Harlen_Reigning-Men---Sechs-Prinzen-f_9783733737863.json	78	0	0	0	23	101
000237_Harry_Potter_und_der_Halbblutprinz_-_J.K._Rowling.json	1	0	0	0	38	39
000238_Hathaway_Der-Geisterjaeger-Jubilaeumsbox-_9783740927158.json	0	0	0	0	28	28
000239_Hathaway_Der-Geisterjaeger-Jubilaeumsbox-_9783740928179.json	0	0	0	0	22	22
000240_Hathaway_Der-Geisterjaeger-Jubilaeumsbox-_9783740929466.json	0	262	0	0	16	278
000241_Hathaway_Der-Geisterjaeger-Jubilaeumsbox-_9783740931629.json	0	189	0	0	16	205
000242_Heaton_Julia-Aerzte-zum-Verlieben-Band_9783751501590.json	37	0	0	0	9	46
000243_Hebel_Der-Bundesbulle-3---Krimi-Seri_9783732538201.json	0	0	0	1	11	12
000244_Hedwig_Courths-Mahler_-_Folge_050_-_Hedwig_Courths-Mahler.json	0	16	0	0	6	22
000245_Heisser_Sex_am_ersten_Tag_-_Karen_Kendall.json	30	0	0	0	10	40
000246_Hellberg_Alpengold-345_9783751710466.json	0	24	0	0	6	30
000247_Hewitt_Die-Milliardaer-Kollektion---Se_9783733717667.json	64	0	0	0	25	89
000248_Hewitt_The-Bryants---Maechtig-und-stol_9783733737856.json	36	0	0	0	13	49
000249_Heyden_Fuersten-Roman-2585_9783732586820.json	0	0	17	0	6	23
000250_Hochzeit_mit_dem_Boss_-_Cara_Colter,_Susan_Meier.json	43	0	0	0	18	61
000251_Hochzeit_im_Schloss_der_Prinzen.json	45	0	0	0	8	53
000252_Hoffmann_Tiffany-Extra-Hot-_-Sexy-Band-_9783733752705.json	51	0	0	0	10	61
000253_Hoffmann_Tiffany-Extra-Hot-_-Sexy-Band-_9783733752859.json	40	0	0	0	10	50
000254_Hoffmann_Tiffany-Extra-Hot-_-Sexy-Band-_9783733752880.json	41	0	0	0	12	53
000255_Hoffmann_Tiffany-Extra-Hot-_-Sexy-Band-_9783733752897.json	51	0	0	0	11	62
000256_Hoffmann_Tiffany-Extra-Hot-_-Sexy-Band-_9783733752910.json	48	0	0	0	10	58
000257_Hoffmann_Tiffany-Extra-Hot-_-Sexy-Band-_9783733753856.json	51	0	0	0	12	63
000258_Hoffmann_Tiffany-Extra-Hot-_-Sexy-Band-_9783733753863.json	53	0	0	0	14	67
000259_Hohlbein_Hohlbein-Classics---Der-Meiste_9783732514335.json	0	21	0	0	9	30
000260_Hollis_Romana-Jubilaeum-Band-3_9783733743918.json	35	0	0	0	7	42
000261_Hollister_H.C.-Hollister-35---Western_9783751711883.json	0	0	0	1	6	7
000262_Hudson_Bianca-Extra-Band-7_9783733732288.json	39	0	0	0	9	48
000263_Hudson_Bianca-Extra-Band-8_9783733732301.json	40	0	0	0	11	51
000264_Im_Bann_der_Diamanten_-_Zwei_Familien_zwis_-_Bronwyn_Jameson,_Tessa_Radley,_Maxine_Sull.json	65	0	0	0	20	85
000265_Im_Bann_der_Vampire_-_Emily_Blake.json	9	0	0	0	7	16
000266_Im_Liebesbann_des_Tycoons_-_Sharon_Kendrick,_Clare_Connelly,_Natalie_A.json	71	0	0	0	25	96
000267_Im_goldenen_Kafig_des_Italiener_-_Sharon_Kendrick.json	11	0	0	0	4	15
000268_Im_goldenen_Kafig_des_Italieners_-_Sharon_Kendrick.json	11	0	0	0	4	15
000269_Irrlicht_-_Box_2_-_E-Book_6-10_-_Autoren,_Diverse.json	0	0	0	0	25	25
000270_Irrlicht_-_Neue_Edition_-_4_-_Nur_das_Meer_-_Merling,_Maja.json	0	20	0	0	9	29
000271_JULIA_COLLECTION_BAND_70_-_Katherine_Garbera.json	36	0	0	0	8	44
000272_JULIA_EXTRA_368_-_Maisey_Yates,_Stephanie_Bond,_F.json	44	0	0	0	9	53
